date_tm,Time, Sample
2018-11-30 19:05:46.039000+00:00,2018-11-30T19:05:46.039000Z,38023
2018-11-30 19:05:50.039000+00:00,2018-11-30T19:05:50.039000Z,38021
2018-11-30 19:05:54.039000+00:00,2018-11-30T19:05:54.039000Z,38022
2018-11-30 19:05:58.039000+00:00,2018-11-30T19:05:58.039000Z,38020
2018-11-30 19:06:02.039000+00:00,2018-11-30T19:06:02.039000Z,38024
2018-11-30 19:06:06.039000+00:00,2018-11-30T19:06:06.039000Z,38020
2018-11-30 19:06:10.039000+00:00,2018-11-30T19:06:10.039000Z,38023
2018-11-30 19:06:14.039000+00:00,2018-11-30T19:06:14.039000Z,38019
2018-11-30 19:06:18.039000+00:00,2018-11-30T19:06:18.039000Z,38023
2018-11-30 19:06:22.039000+00:00,2018-11-30T19:06:22.039000Z,38020
2018-11-30 19:06:26.039000+00:00,2018-11-30T19:06:26.039000Z,38021
2018-11-30 19:06:30.039000+00:00,2018-11-30T19:06:30.039000Z,38022
2018-11-30 19:06:34.039000+00:00,2018-11-30T19:06:34.039000Z,38021
2018-11-30 19:06:38.039000+00:00,2018-11-30T19:06:38.039000Z,38022
2018-11-30 19:06:42.039000+00:00,2018-11-30T19:06:42.039000Z,38021
2018-11-30 19:06:46.039000+00:00,2018-11-30T19:06:46.039000Z,38022
2018-11-30 19:06:50.039000+00:00,2018-11-30T19:06:50.039000Z,38019
2018-11-30 19:06:54.039000+00:00,2018-11-30T19:06:54.039000Z,38019
2018-11-30 19:06:58.039000+00:00,2018-11-30T19:06:58.039000Z,38020
2018-11-30 19:07:02.039000+00:00,2018-11-30T19:07:02.039000Z,38021
2018-11-30 19:07:06.039000+00:00,2018-11-30T19:07:06.039000Z,38020
2018-11-30 19:07:10.039000+00:00,2018-11-30T19:07:10.039000Z,38018
2018-11-30 19:07:14.039000+00:00,2018-11-30T19:07:14.039000Z,38020
2018-11-30 19:07:18.039000+00:00,2018-11-30T19:07:18.039000Z,38020
2018-11-30 19:07:22.039000+00:00,2018-11-30T19:07:22.039000Z,38019
2018-11-30 19:07:26.039000+00:00,2018-11-30T19:07:26.039000Z,38020
2018-11-30 19:07:30.039000+00:00,2018-11-30T19:07:30.039000Z,38020
2018-11-30 19:07:34.039000+00:00,2018-11-30T19:07:34.039000Z,38020
2018-11-30 19:07:38.039000+00:00,2018-11-30T19:07:38.039000Z,38020
2018-11-30 19:07:42.039000+00:00,2018-11-30T19:07:42.039000Z,38021
2018-11-30 19:07:46.039000+00:00,2018-11-30T19:07:46.039000Z,38019
2018-11-30 19:07:50.039000+00:00,2018-11-30T19:07:50.039000Z,38019
2018-11-30 19:07:54.039000+00:00,2018-11-30T19:07:54.039000Z,38018
2018-11-30 19:07:58.039000+00:00,2018-11-30T19:07:58.039000Z,38017
2018-11-30 19:08:02.039000+00:00,2018-11-30T19:08:02.039000Z,38020
2018-11-30 19:08:06.039000+00:00,2018-11-30T19:08:06.039000Z,38019
